Position	Attack	Technic	Form	Kyu
Tachi waza	Ai hanmi katate dori	Ikkyo	Omote	5
Tachi waza	Ai hanmi katate dori	Ikkyo	Ura	5
Tachi waza	Ai hanmi katate dori	Shiho nage	Omote	5
Tachi waza	Ai hanmi katate dori	Shiho nage	Ura	5
Tachi waza	Ai hanmi katate dori	Irimi nage	Omote	5
Tachi waza	Ai hanmi katate dori	Irimi nage	Ura	5
Tachi waza	Katate dori	Shiho nage	Omote	5
Tachi waza	Katate dori	Shiho nage	Ura	5
Tachi waza	Katate dori	Tenchi nage		5
Tachi waza	Shomen uchi	Ikkyo	Omote	5
Tachi waza	Shomen uchi	Ikkyo	Ura	5
Tachi waza	Shomen uchi	Irimi nage		5
Suwari waza	Ryote dori	Kokyu ho		5
Tachi waza	Katate dori	Ikkyo	Omote	4
Tachi waza	Katate dori	Ikkyo	Ura	4
Tachi waza	Katate dori	Nikyo	Omote	4
Tachi waza	Katate dori	Nikyo	Ura	4
Tachi waza	Katate dori	Kote gaeshi		4
Tachi waza	Katate dori	Irimi nage		4
Tachi waza	Katate dori	Uchi kaiten nage		4
Tachi waza	Katate dori	Kokyu nage		4
Tachi waza	Katate dori	Ude kime nage		4
Tachi waza	Katate dori	Sokumen irimi nage		4
Tachi waza	Kata dori	Ikkyo	Omote	4
Tachi waza	Kata dori	Ikkyo	Ura	4
Tachi waza	Kata dori	Nikyo	Omote	4
Tachi waza	Kata dori	Nikyo	Ura	4
Tachi waza	Ai hanmi katate dori	Nikyo	Omote	4
Tachi waza	Ai hanmi katate dori	Nikyo	Ura	4
Tachi waza	Ai hanmi katate dori	Sankyo	Omote	4
Tachi waza	Ai hanmi katate dori	Sankyo	Ura	4
Tachi waza	Ai hanmi katate dori	Kote gaeshi		4
Tachi waza	Ai hanmi katate dori	Ude kime nage		4
Tachi waza	Shomen uchi	Kote gaeshi		4
Tachi waza	Yokomen uchi	Shiho nage	Omote	4
Tachi waza	Yokomen uchi	Shiho nage	Ura	4
Tachi waza	Yokomen uchi	Ude kime nage		4
Tachi waza	Ryote dori	Tenchi nage	Omote	4
Tachi waza	Ryote dori	Tenchi nage	Ura	4
Tachi waza	Ushiro ryote dori	Sankyo	Omote	4
Tachi waza	Ushiro ryote dori	Sankyo	Ura	4
Suwari waza	Ai hanmi katate dori	Ikkyo	Omote	4
Suwari waza	Ai hanmi katate dori	Ikkyo	Ura	4
Suwari waza	Ai hanmi katate dori	Irimi nage		4
Suwari waza	Shomen uchi	Ikkyo	Omote	4
Suwari waza	Shomen uchi	Ikkyo	Ura	4
Suwari waza	Shomen uchi	Irimi nage		4
Tachi waza	Katate ryote dori	Ikkyo	Omote	3
